node,gate_mean,gate_std,deviation_mean,deviation_std,error_mean,error_std
106,0.5013263315876035,0.0026764802865430707,0.4240402166686789,0.5477249148308927,12.145743079498736,22.434083787391643
107,0.5021311794232278,0.0013698835207517023,0.2741161492662708,0.2954132575399426,7.82106068141269,18.89501729863108
108,0.5014116625194132,0.0024841384573942972,0.31490279590126374,0.3474544275322899,9.026795183028618,19.87475681716425
109,0.5023191621181738,0.0029339200131634816,0.4273152470762712,0.4629542444011131,12.559185999153303,21.116450900133664
110,0.5027256382120787,0.00225390609407516,0.2772965974964365,0.2585431076950814,8.02179864890384,17.988626235941403
111,0.5019808338854435,0.002711270902046996,0.3508162576786793,0.3662117192971472,10.513310328295631,20.174182803773473
112,0.5018540531701415,0.0025091543840137526,0.3392153580867461,0.24893600616569775,9.509596771741435,16.940384361758166
113,0.5010800583345176,0.0031388418217829705,0.3571407319986037,0.26259142187314705,9.646088344824575,17.25079087879931
114,0.5020277560366331,0.0025158590968711904,0.3029082793649966,0.2766714420458785,8.40972614009885,18.21002337713458
115,0.5015281921755659,0.0030039602737941405,0.313604321162196,0.2801046889353889,8.024564464283685,17.24372538427326
116,0.5021523399074582,0.002769980159337637,0.3325092685222626,0.2799670090068516,9.060534547680486,17.79345359122993
117,0.5020554587440769,0.00257418749037695,0.33542584282203314,0.2823287353975278,9.1057483779949,18.443537595189515
118,0.5023543916131458,0.0022113467743173055,0.29595842404957234,0.29596579831678504,8.37847413049127,18.820965218844854
119,0.501714521185325,0.002561328858575489,0.2952299578955574,0.2783723098746964,8.244310926729746,18.495365825303278
120,0.5021353322049997,0.0033343972837459692,0.44571040498079173,0.37802988438283874,12.47906401501955,19.825819940978185
121,0.5020552436974797,0.0029101120243053046,0.377626514456568,0.42771473489024625,11.083528260001302,20.087594391113047
122,0.501043759392996,0.0030569889892667125,0.31476957488234025,0.27607177360381874,8.141426324148247,17.834332428747878
123,0.502649587819176,0.0016871387471705218,0.28710527333900004,0.2953066132018319,8.066624526142204,18.88766587223768
124,0.5024385119528666,0.0034140143602865622,0.3756834016925227,0.2936506586523178,10.666959302860455,18.07900310590548
125,0.49989892936100927,0.0035714091674206327,0.47102747787524313,0.3046569703489575,10.319500024753765,16.734223058156097
126,0.5008475213155259,0.0020190486834830044,0.38783936572771005,0.30246492915380835,10.23718388439095,17.20606494908862
127,0.5011639379932933,0.005267656382975906,0.5825086804767595,0.4471603850552246,12.325553893694913,19.325807364985305
128,0.5013511492388092,0.0024775010286288003,0.29789181938136583,0.2555147827278744,8.50875511969963,18.11207963634486
129,0.5022597782803278,0.0023723458052473992,0.3624015791224737,0.35819481750811494,10.764970330565514,20.03475260383383
130,0.5011536763184262,0.0031555048598718234,0.3876204232664874,0.2866368724283428,9.95243586557625,17.225366255317407
131,0.5014748926580387,0.003123912505134287,0.33965626333316745,0.26087606578577355,9.179591741840335,16.53060623520483
132,0.501357472099527,0.002472008552527124,0.33857321084415826,0.37854485703093144,9.91518552480823,20.905725744049516
133,0.5021025228152309,0.0029482540811211684,0.31833644807773787,0.23353930566000305,9.192074152918627,16.59332583359344
134,0.502209144473946,0.00400225917635987,0.4279319572187688,0.38567174545757454,11.973634746544553,20.188804718423878
135,0.5021745712391651,0.0023137783110525065,0.2943952349807224,0.24637987403573636,8.438709633959471,17.61085141945337
136,0.5016266858316686,0.0023213319275694564,0.3104013488545035,0.2725867036905316,8.833230093795887,18.24665103905528
137,0.5013554878652531,0.0032931692187446134,0.3643290547732889,0.26514851132866113,9.72341255995479,16.76575088227672
